title,description,category
Ryzyk Fizyk FAMILY,Rodzinna wersja imprezowego hitu. ,Familijne
Mniam Mniam Placki,Kto jest najzdolniejszym kucharzem?,Familijne
Karak,"Ekscytująca, familijna gra przygodowa",Familijne
Muza,Niech prowadzi Cię MUZA!,Familijne
Szarlatani z Pasikurowic + dodatek promocyjny z goodie box,"""Szarlatani z Pasikurowic"" to familijna gra planszowa przeznaczona dla 2 do 4 graczy w wieku od 10 lat.",Familijne
Wodny szlak,"Wodny szlak to pięknie zilustrowana gra rodzinna, która doskonale sprawdzi się w każdej grupie wiekowej.",Familijne
"Zagrajmy, mamo: Krówka w kuchni",Gra z drewnianą łyżką kucharską,Familijne
ExoPlanets,"To dynamiczna gra dla 2 do 4 osób, w której gracze kierują wszystkimi procesami wspólnego układu planetarnego. ",Familijne
Pirackie poRachunki,"Rachuj, werbuj i plądruj!",Familijne
Jaskiniowcy,Już czas dokonać skoku ewolucyjnego!,Familijne
Top Secret,"Wcielasz się w rolę agenta i starasz się rozpracować siatkę agentów przeciwnika. Wygra gracz, który szybciej zdemaskuje agentów rywala.",Familijne
Pogromcy potworów,"Dasz się oczarować, czy staniesz się prawdziwym pogromcą potworów?",Familijne
Zombeasts,"Podczas pełni księżyca wszystkie potworki znane jako Zombeast opuszczają swoje kryjówki, by bawić się i psocić. ",Familijne
ROAR! Łap Potwora,"W tej grze gracze wcielają się w młodych naukowców oraz uciekającego potwora! Plansza przedstawia miasto podzielone na liczne trasy, dzielnice i budynki. ",Familijne
Najazd turystów,"Słońce, palmy i... walka o miejsce w hotelu!",Familijne
Memuuu,Zabawna gra ćwicząca pamięć,Familijne
Fits Travel,Dobrze się układa!,Familijne
Awantura o skarby,Dorwij fortunę!,Familijne
Steam Park (edycja polska),Steam Park to pełna akcji i niezwykle dynamiczna gra rodzinna. Gracze rywali,Familijne
Pentos,Wreszcie nadszedł czas wyczekiwanego przez wszystkich corocznego Festiwalu Czarów!,Familijne
Happy Party,"W swojej turze gracz rzuca dwoma kostkami. Następnie odnajduje na torcie wskazane przez kostki świeczki i próbuje je zdmuchnąć. Tylko ostrożnie, nie można pr",Familijne
BOARDING,ZAPRSZAMY NA POKŁAD SAMOLOTU!,Familijne
DZIOBAKI,DZIOBAKI I INNE ZWIERZAKI,Familijne
UFO,INWAZJA UFO!,Familijne
PAN TU NIE STAŁ! CINKCIARZ,Waluta! Dolarki! Bony! Kupię! Sprzedam! Co dla szanownego pana?! Czincz many?!,Familijne
Morze Chmur,"Wybierz kapitana, podbij niebo i stań się legendą w tej lekkiej grze strategicznej dla całej rodziny",Familijne
Superfarmer - gra karciana,"Rodzina Superfarmera, kultowej polskiej gry, znowu się powiększyła!",Familijne
Dywizjon 303 Big,Większa i bogatsza wersja lubianej przez wszystkich gry!  Teraz jeszcze więcej zabawy!,Familijne
Wyprawa na Biegun,Wyścig trwa!,Familijne
PtaKostki,Każdego dnia na płocie Twojego ogrodu na wsi zasiadają dziesiątki ptaków,Familijne
Stone Age Junior (edycja niemiecka),"Travel to the past with Jonon and Jada, two stone age children, to rediscover how the first humans settled the world around them.",Familijne
Sushi Express,Gracze krążą po mieście w swoich małych samochodach dostawczych i starają się dobrze zaopatrywać klientów. Kiedy przejeżdżają,Familijne
Zgubione Znalezione,"Przekonajcie się, kto ma najlepszą pamięć do szczegółów!",Familijne
Owce na wypasie,"Na wielkiej, zielonej łące spotkało się kilka stad owiec. Jedno z nich należy do ciebie. ",Familijne
Welcome to... Miasteczko marzeń,Zaprojektuj przedmieście jak ze snów!,Familijne
Splendor (edycja polska),"Splendor jest dynamiczną i niemal uzależniającą grą w zbieranie żetonów i kart, które tworzą zasoby gracza, umożliwiające mu dalszy rozwój. Gracze wcielają s",Familijne
INSPEKTOR TUSZ,"Odgadnij to, czego nie widzisz!",Familijne
Złoto Bohaterów,Potwory ruszają odebrać zagrabione im skarby!,Familijne
Pakiet Nowego Świata - Dice Settlers i Czarna Bandera,Pakiet Gier.,Familijne
MINI Quiz o świecie,Poszerz swoją wiedzę o świecie!,Familijne
Pora liczyć,Kto szybciej policzy warzywa i owoce rosnące na grządkach?,Familijne
Wióry Lecą,Zręcznościowa gra dla całej rodziny,Familijne
Azul: Witraże Sintry,Czy uda ci się stworzyć najbardziej okazałe i najpiękniejsze witraże w całej Portugalii?,Familijne
Kosmiczni Piraci,Jesteś kapitanem przemierzającym niezbadane obszary galaktyki. ,Familijne
Mr House,Zbuduj dom marzeń!,Familijne
Dobble Plaża,Zabierz Dobble na plażę!,Familijne
Bingo w metalowej puszce,Każdy grający w Bingo dostaje kartę z jednorazową kombinacją numerów w kratce oraz pustymi polami. ,Familijne
Motto,"Miłość, pasja czy pieniądze?",Familijne
Baba Jagna i zaczarowany las,"Wesoła gra przygodowa dla dzieci! Wejdź do zaczarowanego lasu i pomóż zapominalskiej czarownicy! Jeśli umiecie współpracować z innymi graczami, uda wam się odnaleźć wszystkie przedmioty i wygrać!",Familijne
Nowe Pokolenia,"W kronikach wsi otwiera się nowy rozdział, nadchodzą nowe Pokolenia. ",Familijne
Budowniczowie: Antyk,Budowniczowie to prosta i bardzo przyjemna gra w zarządzanie zasobami.,Familijne
Kolej na kolej - Dr Knizia poleca,Szybka gra familijna z unikalnymi kostkami,Familijne
Polska: Gra z historią,Wciągająca gra edukacyjna dla całej rodziny,Familijne
Roll & Wall (Wspinaczka),Kto pierwszy dotrze na szczyt?,Familijne
Batyskaf,Udokumentuj podwodny świat,Familijne
Obłoczki,Co za piękny dzień!,Familijne
Port Gdańsk,"W Porcie Gdańsk jeszcze nigdy nie było tak ruchliwie, jak dziś!",Familijne
Owce na manowce,Kto stworzy największe stado?,Familijne
Wesołe Krówki,"Poznajcie Wesołe Krówki – planszówkę, którą pokochały tysiące graczy na całym świecie!",Familijne
Mr. Jack Pocket,Kuba Rozpruwacz w wersji kieszonkowej.,Familijne
CHOINKA,UBIERAMY CHOINKĘ!,Familijne
MUNCHKIN LISTA SKARBÓW,Ukradnij skarb i wykiwaj kumpli - bez tego całego durnego grania w karty.,Familijne
Superbohaterowie,"Świat stoi na krawędzi zagłady. Wiele miast atakowanych jest przez ogromne pająki, a niebo pełne jest zmutowanych orłów. ",Familijne
Epoka Kamienia,Każdy wiek ma swoje wyzwania. Epoka kamienna ukształtowała się przez pojawienie się rolnictwa i przetwórstwa. ,Familijne
Skarabia,Nowe tajemnicze odkrycie wywołało poruszenie w środowisku archeologów.,Familijne
Pytaki,Niezwykle przyjemna gra rodzinna! Prosta gra integracyjna dla wszystkich domowników!,Familijne
Rummikub Travel (wersja podróżna),"Prosta, wciągająca, inna w każdej kolejnej rozgrywce. Taka właśnie jest gra ""Rummikub""!",Familijne
Zakazana wyspa,Odkryjcie tajemnice Zakazanej Wyspy! Dołączcie do zespołu nieustraszonych śmiałków w ryzykownej wyprawie celem wydobycia czterech sakralnych skarbów z niebez,Familijne
Rummy Kids (wersja dla dzieci),Bestsellerowa gra rodzinna w wersji dla najmłodszych!,Familijne
E-motionz (Travel),Ultradynamiczna gra planszowa! Pozytywne emocje i dużo śmiechu - gwarantowane!,Familijne
Przygoda na Safari,Aparaty w dłoń!,Familijne
Blueprints,"Dostajesz projekt, mądrze wybierasz kości i zdobywasz nagrody i trofea! Wybuduj budynki korzystając z projektów oraz wyobraźni i zmysłu taktycznego. Zostań najlepszym architektem!",Familijne
Parszywa 15,"Na graczy czekają paski zadań z symulacjami ułożenia kości, których suma oczek zawsze daje 15. Każdy gracz próbuje zapełnić to ułożenie możliwie wszyst",Familijne
Kanagawa - DE,Which artist will draw the most beautiful print?,Familijne
Skąpiec,"Wszyscy gracze starają się oszczędzać swoje żetony, mało wydać i możliwie jak najwięcej dla siebie wygrać. Do tego rzucają 5 kośćmi i wybierają z nich możliw",Familijne
Extra!,"Każdy z graczy tworzy dwie pary kości, których oczka sumuje i uzyskane dwie sumy zapisuje na swojej karcie. ",Familijne
Strachu ciachu,Strachu ciachu to dynamiczna gra karciana dla żądnych przygód bohaterów.,Familijne
Zaczarowane drzewo,Czary-mary pień prastary! ,Familijne
Agenci,Wciel się w rolę tajnego agenta. ,Familijne
Activity Go,"Narysuj ""pączek w maśle"", pokaż na migi ""lep na muchy"", opisz ""cuda na patyku"" nim upłynie czas! Gracze na zmianę losują hasła i próbują je przedstawić swoje",Familijne
Activity Compact,"Narysuj ""pączek w maśle"", pokaż na migi ""lep na muchy"", opisz ""cuda na patyku""... nim upłynie czas! Gracze na zmianę losują hasła i próbują je przedstawić sw",Familijne
Korsar,"Rozkazy są jasne: zdobądź wrogie galeony i chroń własne statki! Bądź czujny i rozważny! Nie bój się walki, nie miej litości! Do abordażu!",Familijne
Zero,"Proste zasady i emocjonująca rozgrywka. Cel gry jest jasny: zdobyć jak najmniejszą liczbę punktów, starając się uzyskać kombinację doskonałą: ZERO.",Familijne
Egipcjanin Chińczyk,Klasyczne gry na każdą okazję!,Familijne
KRABY NA FALI,"Kiedy nadchodzi przypływ, kraby szukają bezpiecznej kryjówki.",Familijne
Ubongo 3D,Układanie puzzli na czas!,Familijne
Odfrunęło z Wiatrem,Podziwiaj piękne i zwiewne motyle!,Familijne
Dobble,"W Dobble można grać na klika sposobów. W zasadach można znaleźć pięć mini-gier. Najpopularniejszą jest wersja, w której wszystkie karty rozdaje się graczom,",Familijne
Queendomino ( edycja polska),Queendomino to rozbudowana wersja światowego bestsellera – Kingdomino.,Familijne
Rzutem do mety,Zażarta walka ścianka w ściankę o miejsce na podium,Familijne
Shadow Master (Mistrz Cieni),"Mistrz cieni otworzył wyjątkowy teatr cieni. Tu cienie różnych przedmiotów pokrywają się, tworząc przeróżne tajemnicze kształty. Tylko prawdziwi specjaliści są w stanie rozszyfrować zagadki Mistrza Cieni.",Familijne
Dolina Nilu,Dolina Nilu odkrywa swe skarby. ,Familijne
Milionerzy (nowa edycja),"Tylko 12 pytań dzieli Cię od zdobycia tytułu ""Milionera""!",Familijne
Potworek Głodomorek,Nakarm swojego potworka!,Familijne
Carcassonne: Star Wars (wersja polska),Kafelkowe szaleństwo w odległej galaktyce...,Familijne
Laguna,Nieodkryte rajskie wyspy błękitnej Laguny czekają na zasiedlenie.,Familijne
Cool at Pool,"W grze ""Cool at Pool"" potrzeba trochę sprytu, planowania i szczęścia. Który z graczy najskuteczniej będzie rezerwował leżaki i pozbywał się nieproszonych gości, aby zdobyć jak najwięcej dobrych miejsc na słońcu?",Familijne
Dragonia,Śpiąca smoczyca Dragonia bardzo dba o swoje złote jaja. Jej ciepłe gniazdo skusiło jednak mniejsze jaszczurki. ,Familijne
Wsiąść do Pociągu: Nowy Jork,Pocałuj w stopę Statuę Wolności!,Familijne
Farmerama,Wskakuj w kalosze i biegnij na pole! Zagrajcie w cieszącą się powodzeniem grę online na planszy i bawcie się ile sił starczy! Zwycięskie punkty zdobywa ten g,Familijne
Hollywood,"Światło, kamera, akcja!",Familijne
Takie Życie 3 - Tajemnice,"Wieje nudą? Jedziecie samochodem? Pociągiem? Czekacie na samolot? Czekacie aż piąty gracz wyjdzie z łazienki lub wróci ze sklepu, byście mogli w końcu zacząć",Familijne
Potęga słowa,Gra słowna o walce tajnych agentów!,Familijne
Cut the Rope ( Edycja polska),Pomóż mu zaspokoić apetyt na łakocie!,Familijne
Ale Historia!,Ale Historia! to niezwykła podróż poprzez wieki! Gracze zagłębiają się w historii Polski i naszej narodowej kultury.,Familijne
Kingdomino,"Najnowsza gra familijna autora Małego Księcia, Abyss i Cyklad!",Familijne
Potwory w Nowym Jorku,Dołącz do walki o Nowy Jork!,Familijne
Carcassonne: Safari,Odkryjcie tajemnice safari,Familijne
Gra o Tron: Quiz,"Ile tak naprawdę wiesz o serialu telewizyjnym HBO Gra o Tron? Sprawdź swoją wiedzę, zmierz się z przyjaciółmi i zdobądź Żelazny Tron!",Familijne
Cardline: Marvel - edycja polska,Sprawdź kto jest silniejszy w świecie Marvela!,Familijne
Żółwie z Galapagos,Żółwie z Galapagos to bardzo prosta i emocjonująca gra rodzinna. ,Familijne
Bipper 1.0,Cztery super gry w jednym elektronicznym bipperze.,Familijne
Zakazana pustynia,Zbudujcie latającą maszynę by uciec z pustyni!,Familijne
Fashion Show,"Wciel się w projektanta i przygotuj niezwykłe stroje, które staną się hitem na nadchodzącym pokazie Fashion Show!",Familijne
Fits,"Szybka, prosta i niesamowicie wciągająca gra rodzinna. ",Familijne
Patchwork Express,Wyszyj sobie drogę do zwycięstwa.,Familijne
Chytrogród,Rodzinna wredna gra!,Familijne
50 Gier Dla Całej Rodziny,Kalejdoskop 50 gier towarzyskich,Familijne
KRÓLESTWO KRÓLIKÓW,Zostań długouchym lordem i zbuduj imperium!,Familijne
TORRES,Zostań budowniczym zamków.,Familijne
Śladami Phileasa Fogga,"Dołącz do Klubu Reforma, podejmij wyzwanie i wyrusz w podróż dookoła świata!",Familijne
Pixbox,"Przestawiaj, obracaj, układaj",Familijne
Młodzi czarodzieje,Wyjątkowa przygoda dla młodych adeptów magii!,Familijne
Garbage Day,Zwiariowana gra w podrzucanie śmieci współlokatorom!,Familijne
Motyla noga!,Czy kot złapie motylka?,Familijne
Rune Stones,Kto jest najpotężniejszym druidem?,Familijne
Kieszonkowe Kasyno,"Każdy szczęście znaleźć może, komu los dziś dopomoże.",Familijne
Great Tour,Jesteś właścicielem firmy autokarowej i próbujesz rozsławić ją na kontynencie!,Familijne
Kwiaciarenka,"Kwiaciarenka to prześliczna gra o relaksującej mechanice, w której naszym zadaniem będzie zaaranżować ustawienie bukietów na sklepowej witrynie",Familijne
Kocham Polskę,Nowa edycja gry na podstawie bestsellerowej serii książek dla dzieci i rodziców Kocham Polskę.,Familijne
Kurierzy,"Trzeba wykazać się niemałym sprytem, cierpliwością i stalowymi nerwami, aby pomyślnie wykonać misję",Familijne
Wsiąść do Pociągu: Polska + Europa,Zacznij przygodę z budowaniem tras!,Familijne
iKnow (edycja polska),"""iKnow"" to jedyna w swoim rodzaju gra, wymagająca zarówno wiedzy jak i umiejętności taktycznych.",Familijne
Twardy Orzech do Zgryzienia,Proste zasady - wartościowa rozgrywka dla całej rodziny!,Familijne
Wonderland,Pogoń za Białym Królikiem i zjedzenie magicznego ciasteczka to nie był dobry pomysł... ,Familijne
Kalambury - Podróż po Polsce,"Zagrajcie w ""Kalambury - Podróż po Polsce"" i przekonajcie się, ile wiecie o swoim kraju!",Familijne
5 w 1 (kolekcja klasyczna),"Jest to komplet dla wszystkich, pragnących mieć pod ręką znane i lubiane gry na całym świecie (Backgammon, Domino, Kółko i krzyżyk, Szachy, Warcaby)! ",Familijne
Logo: Gra planszowa,"Marki, które znasz i kochasz",Familijne
Photo loco(photoloco),"Twoja drużyna będzie zgadywała, co rysujesz na zdjęciu stanowiącym tło twoich bazgrołów i kontekst pomagający innym odgadnąć słowa kluczowe. Wszystko okaże s",Familijne
Hokus Pokus!,Wyczaruj stos magicznych przedmiotów!,Familijne
Palcem po mapie - Lisowscy w Azji,Podróżnicy Elżbieta i Andrzej Lisowscy zabierają graczy w podróż przez najciekawsze miejsca Azji.,Familijne
Pora na Kameleona,Uchwyć gada w obiektywie!,Familijne
Top Kitchen (edycja z wspieram.to),"Comber jagnięcy, stek z tuńczyka czy homar w sosie ziołowym?",Familijne
Tajny agent,Jedyne w swoim rodzaju połączenie quizu i gry imprezowej!,Familijne
Gangster City,Jesteś ostatnią nadzieją Gangster City! Zbieraj wskazówki i kombinuj - tylko bez pomyłek!,Familijne
Asy Przestworzy,Wciel się w rolę lotnika z czasów I wojny światowej. ,Familijne
HISTORIA (wydanie polskie),"W grze Historia gracze prowadzą swoje cywilizacje przez 12.000 lat ludzkiej historii, od wynalezienia ognia, aż do rozwoju technologii Singularity.",Familijne
Jedzie pociąg z daleka,Kafelkowa gra kolejkowa dla całej rodziny,Familijne
Park Niedźwiedzi,Układanie niedźwiedziego zoo dla całej rodziny!,Familijne
Ubongo (edycja polska),Układanie puzzli na czas!,Familijne
Domino,"To znana od dawna i ceniona gra towarzyska. Polega na tym, by dopasować ilość oczek na dokładanych do siebie kamieni. Zawartość produktu:</p",Familijne
Balansujący osiołek w metalowej puszce,Jakość marki Schmidt Spiele!,Familijne
Fuse (edycja polska),Macie tylko 10 minut! Czy uda wam się rozbroić wszystkie ładunki?,Familijne
Top and Down (Easy Play),"Wszyscy gracze poruszają swoje pionki w stronę ostatniego pola. Czasem odbywa się to górą, a czasem dołem.",Familijne
Camel Up,"Nowe, lepsze i jeszcze bardziej przebiegłe!",Familijne
CVlizacje,"Pełna humoru podróż przez stulecia. Najważniejsze idee, architektura i wynalazki z historii ludzkości zaprezentowane z przymrużeniem oka. ",Familijne
Kingdomino Revised Edition (Spiel des Jahres 2017),"In Kingdomino, you are a Lord seeking new lands in which to expand your kingdom. You must explore all the lands, wheat fields, lakes, and mountains in order to spot the best plots. But be careful as some other Lords also covet these lands...",Familijne
Biznes po polsku - podróżny,Prostsza i łatwiejsza od wersji planszowej - to wspaniała i emocjonująca gra.,Familijne
Joe's Zoo," Flaming, zebra, krokodyl i inni mieszkańcy zoo, ukryli się na nie swoich wybiegach, przez co zapanował kompletny chaos! Zadaniem graczy jest wywabić zwierzę",Familijne
Catan: Szybka gra karciana,Poprawiona odsłona ekonomicznej karcianki!,Familijne
Faras,Wyruszcie w niezwykłą podróż do serca Afryki! Wcielcie się w rolę polskich archeologów którzy - pod czujnym okiem profesora Kazimierza Michałowskiego,Familijne
Dobble Kids,"Ten, ten, no... wieloryb!",Familijne
Quadro Color," Trzy kartoniki, jedna plansza i wiele kolorowych kwadratów - do dzieła!",Familijne
Pokój 25: Apogeum,Wszystko co najlepsze w serii Pokój 25!,Familijne
Sprint,"Niesamowita gra kooperacyjna, w której liczy się przede wszystkim zręczność i współpraca zespołowa.",Familijne
Gra słów,Rodzinna gra kooperacyjna,Familijne
Story Cubes: Bohaterowie,"9 kości, 54 obrazy, nieskończona ilość opowieści",Familijne
4 w 1 - Dziewczyny,"""4 w 1 - Dziewczyny"" to zestaw 3 różnych gier i 60 puzzli do układania. Wszystkie gry i puzzle łączy grafika o tematyce skierowanej do dziewcząt. ",Familijne
Story Cubes: Interwencje,"9 kości, 54 obrazy, nieskończona ilość opowieści",Familijne
Domino obrazkowe - Dziewczyny,"W trakcie gry, każdy jej uczestnik stara się dołożyć jeden ze swoich elementów do układu leżącego na stole. ",Familijne
Remik słowny Deluxe,„Remik Słowny Deluxe” to fascynująca gra słowna. Łączy w sobie elementy losowe i strategiczne. ,Familijne
